SampleID;x1;x2;y; 
TA62808001-20100601;6.214068102;4;0.477335176;
TA65412001-20130502;4.472535845;1;0.477335176;
TA65412001-20100519;4.472535845;1;0.357717951;
TA65412001-20090429;4.472535845;1;0.357717951;
TA65412001-20080505;4.472535845;1;0.297909339;
TA62708008-20080506;5.515008964;1;0.537143789;
TA62708008-20100601;5.515008964;1;0.537143789;
TA62708008-20090520;5.515008964;1;0.357717951;
DU210314-20080715;2.024919341;1;0.656761013;
DU210314-20130627;2.024919341;1;0.537143789;
DU210132-20080708;0.609677419;1;0.537143789;
DU210132-20130606;0.609677419;1;0.656761013;
DU210106-20080716;2.200796356;1;0.537143789;
DU210116-20130731;0.609677419;1;0.537143789;
DU210116-20080708;0.609677419;1;0.477335176;
DU210127-20080716;2.236032258;1;0.596952401;
DU210127-20130604;2.236032258;1;0.537143789;
GV09030006-20090417;3.002006434;1;0.417526564;
GV09030006-20090120;3.002006434;1;0.417526564;
GV09030006-20090115;3.002006434;1;0.297909339;
GV09260005-20090520;3.620742417;1;0.238100726;
GV09260005-20081219;3.620742417;1;0.357717951;
GV09230004-20090122;2.956258075;1;0.357717951;
GV09230004-20090416;2.956258075;1;0.537143789;
GV09420003-20090415;4.440176507;1;0.357717951;
GV09420003-20090121;4.440176507;1;0.357717951;
GV09430001-20081222;3.805676042;1;0.477335176;
JU183-20111103;1.208064517;3;0.477335176;
JU183-20120411;1.208064517;3;0.716569626;
JU183-20130417;1.208064517;3;0.716569626;
JU169-20111215;0.955161295;2;0.836186851;
JU169-20120418;0.955161295;2;0.776378238;
JU169-20130409;0.955161295;2;0.716569626;
JU130-20110105;3.631344094;3;0.656761013;
TA62708006-20100629;5.560640679;4;0.537143789;
TA62908005-20100602;4.8044086;1;0.238100726;
TA62908005-20130508;4.8044086;1;0.238100726;
TA62908005-20090526;4.8044086;1;0.357717951;
130478;3.076236559;2;0.671299418;
121042;3.076236559;2;0.432064968;
110909;3.076236559;2;0.49187358;
120437;3.076236559;2;0.551682193;
80195;2.970922939;2;0.49187358;
120465;2.970922939;2;0.49187358;
100357;2.970922939;2;0.611490805;
110938;2.970922939;2;0.372256355;
130516;2.970922939;2;0.551682193;
90558;2.970922939;2;0.551682193;
80047;1.914964158;2;0.49187358;
121032;1.914964158;2;0.49187358;
80082;1.937691159;2;0.671299418;
121038;1.937691159;2;0.671299418;
110893;1.937691159;2;0.611490805;
90445;1.937691159;2;0.73110803;
100303;1.937691159;2;0.73110803;
120423;1.937691159;2;0.551682193;
130463;1.937691159;2;0.790916643;
80196;1.990860215;2;0.49187358;
100358;1.990860215;2;0.551682193;
90559;1.990860215;2;0.850725255;
130517;1.990860215;2;0.73110803;
90475;3.082258065;2;0.73110803;
100321;3.082258065;2;0.49187358;
80110;3.082258065;2;0.73110803;
120438;3.082258065;2;0.372256355;
110910;3.082258065;2;0.611490805;
130479;3.082258065;2;0.671299418;
90443;2.429614695;2;0.611490805;
80080;2.429614695;2;0.551682193;
121036;2.429614695;2;0.372256355;
130461;2.429614695;2;0.73110803;
90599;2.770268817;4;0.49187358;
110960;2.770268817;4;0.432064968;
120486;2.770268817;4;0.551682193;
80233;2.770268817;4;0.432064968;
130540;2.770268817;4;0.671299418;
100330;3.043129684;2;0.252639131;
110916;3.043129684;2;0.73110803;
130488;3.043129684;2;0.49187358;
80130;3.043129684;2;0.49187358;
90495;3.043129684;2;0.432064968;
120445;3.043129684;2;0.49187358;
100272;2.196252851;2;0.551682193;
90409;2.196252851;2;0.850725255;
80046;2.196252851;2;0.97034248;
80081;2.014695341;2;0.671299418;
121037;2.014695341;2;0.49187358;
80234;2.114426523;2;0.49187358;
110961;2.114426523;2;0.611490805;
Kymij_Kokonk_1997;0.688130081;3;-0.061170981;
Vuoksi_Imatrank_2006;0.459876543;3;0.417297919;
Kymij_Ahvio_1997;0.688130081;3;0.357489307;
Vuoksi_BurnajaRUS_2006;0.459876543;3;0.596723756;
Tenojoki_14500_2006;0.175461538;1;1.306417326;
Vuoksi_LosevoRUS_2006;0.459876543;3;0.716340981;
Oulujoki_Laukansilta_2007;0.406754386;3;0.477106531;
Kymij_Hirvik_1999;0.688130081;3;0.596723756;
Paatsj_Virtaniemi14400_2007;0.160521739;2;0.417297919;
Tornionj_Kukkola14310_2007;0.275897436;1;1.370336072;
DrKr0609;1.699;1;0.575028237;
DrBo0409;1.38075;1;0.993688524;
DrBo0606;1.38075;1;0.515219624;
DrDM1209;1.2485;1;0.735352875;
DrBe0511;1.1525;3;0.555927038;
DrVi0609;1.0555;1;0.675544263;
DrTP0409;1.2238;1;0.634836849;
MuPe0606;1.862;1;0.275985175;
MuGo0409;1.5677;1;0.455411012;
SaDa0906;1.10785;2;0.61573565;
SaDr0509;1.2254;1;1.113305749;
SaGa0509;1.4362;3;0.795161488;
SaRa0509;1.09785;2;0.61573565;
SaZa0606;1.4125;2;0.754454074;
SaDa0509;1.10785;2;0.675544263;
SaRa0712;1.09785;2;0.436309813;
SaJa0509;1.2862;1;1.393247612;
SaSS0509;1.0542;2;0.675544263;
SaZu0706;1.0875;2;0.61573565;
SaDr0712;1.2254;1;1.5;
AEP446_2010_0506_Komarom;1.86;2;0.225216074;
AEP446_2008_0514_Komarom;1.86;2;0.584067748;
AEP446_2008_1014_Komarom;1.86;2;0.344833299;
AEP446_2008_1015_Szob;2.44;2;0.942919423;
AEP443_2008_0514_Rajka;1.75;4;0.398062459;
AEP443_2008_0514_Medve;1.73;4;0.278445235;
AEP446_2008_0515_Szob;2.44;2;1.062536648;
AEP446_2010_0506_Szob;2.44;2;0.584067748;
AEP446_2010_1019_Szob;2.44;2;0.703684973;
AEP446_2009_0604_Szob;2.44;2;0.643876361;
AEP445_2008_0605_Mohacs;1.79;2;0.750537443;
AEP444_2008_0515_Bpus;2.3;2;0.464450523;
AEP444_2010_1116_Dfoldvar;2.05;3;0.285024686;
AEP443_2008_0518_Rajka;1.75;4;0.039210785;
AEP443_2008_1014_Medve;1.73;4;0.039210785;
AEP443_2010_0506_Medve;1.73;4;0.099019397;
AEP443_2010_0506_Rajka;1.75;4;0.338253847;
AEP443_2010_1020_Rajka;1.75;4;0.517679684;
AEP444_2008_0612_Bpds;2.24;4;0.464450523;
AEP444_2008_1017_Bpus;2.3;2;0.524259136;
AEP444_2009_1106_Baja;2.05;3;0.404641911;
AEP444_2011_0318_Dfoldvar;2.05;3;0.763493586;
AEP445_2008_0709_Mohacs;1.79;2;0.391685768;
AEP438_2008_0920_Vizvar;1.047;2;0.824847965;
AEP438_2008_0921_Barcs;1.047;2;0.824847965;
AEQ057_2011_0311_Zempl;0.46;3;0.663815246;
1-1455;1.155833333;1;1.5;
1-588;1.024416667;2;0.382757053;
1-553;1.155833333;1;1.5;
1-472;1.024416667;2;0.382757053;
1-459;1.155833333;1;1.5;
1-1639;1.024416667;2;0.681800116;
1-1568;1.155833333;1;1.5;
1-1491;1.024416667;2;0.442565666;
1-559;1.155833333;1;0.921034565;
1-12-484/18;0.940166667;1;0.562182891;
1-12-480/10;1.029583333;2;0.681800116;
1-12-1613/13;0.940166667;1;0.322948441;
1-12-1609/59;1.029583333;2;0.382757053;
1-11-510/91;1.029583333;2;0.621991503;
1-11-506/92;0.940166667;1;0.322948441;
1-11-1420/94;0.940166667;1;0.621991503;
1-11-1417/2;1.029583333;2;0.681800116;
1-10-401/10;0.940166667;1;0.502374278;
1-10-399/1;1.029583333;2;0.322948441;
1-10-1456/17;0.940166667;1;0.621991503;
1-10-1452/8;1.029583333;2;0.382757053;
1-1565;1.155833333;1;0.921034565;
T-JTD-2013-PAV-2049;1.029583333;2;0.502374278;
T-VAKKR-2013-PAV-625;1.024416667;2;0.861225953;
T-VAKKR-2012-PAV-207;1.024416667;2;0.502374278;
T-VAKKR-2012-PAV-107;1.024416667;2;0.681800116;
T-JTD-2013-PAV-611;1.029583333;2;0.442565666;
T-JTD-2013-PAV-585;0.940166667;1;0.382757053;
