SampleID;x1;x2;y;RandomEffect ; 
BOMW0015_2010_8;0.007;8.46E-02;74;M1;
ALMB0006_2006_6;0.002;8.46E-02;72;M6;
MAWA0125_2006_9;0;8.55E-02;51;M1;
342401_2006_9;0.001;8.62E-02;48;M1;
BENL0160_2010_5;0.031;8.64E-02;54;M3;
MAWA0165_2006_9;0.008;8.64E-02;64;M3;
340442_2005_6;0.012;8.69E-02;61;M3;
341421_1999_9;0.071;8.73E-02;41;M3;
BOMW0008_2006_6;0.003;0.0875;58;M6;
BETU0032_2008_9;0.004;8.85E-02;50;M1;
140289_2013_8;0.003;8.86E-02;62;M1;
KOP 0433_2004_8;0.001;8.97E-02;62;M8;
OVVBOU10_1986_10;0.006;0.09;19;M11;
OVVBOU10_1986_7;0.006;0.09;18;M11;
343502_2006_9;0.025;9.08E-02;63;M1;
GROO0006_2008_8;0.004;9.15E-02;55;M11;
BOMW0041_2006_5;0.004;9.17E-02;79;M6;
BENL0060_2007_5;0.004;9.23E-02;84;M1;
BETU0103_2010_5;0.002;9.23E-02;44;M6;
a18_2010_6;0.003;0.0925;59;M1;
s18_2010_7;0.002;9.27E-02;50;M6;
340410_1999_6;0.018;9.33E-02;62;M1;
wb19_2006_9;0.006;9.42E-02;58;M3;
OSCHRI10_2005_6;0.05;0.095;39;M12;
BETU0411_2011_5;0.009;9.54E-02;40;M1;
l0221owo_2012_5;0.002;9.54E-02;81;M27;
d35_2012_5;0.004;9.58E-02;60;M3;
MAWA0095_2006_9;0.003;9.64E-02;64;M1;
341421_2001_5;0.054;9.64E-02;30;M3;
341421_2001_9;0.054;9.64E-02;26;M3;
BENL0144_2009_8;0.007;9.67E-02;79;M1;
BOMW0035_2006_6;0.006;9.67E-02;79;M3;
ALMB0039_2006_6;0.012;9.67E-02;65;M6;
143292_2011_5;0.05;9.71E-02;43;M1;
143292_2011_9;0.05;9.71E-02;50;M1;
ALMB0041_2009_5;0.057;0.0975;97;M6;
BETU0020_2008_9;0.005;9.85E-02;40;M1;
BENL0006_2007_5;0.003;9.85E-02;61;M1;
343502_2005_6;0.069;0.1;55;M1;
343502_2005_8;0.069;0.1;54;M1;
BENL0025_2007_9;0.006;0.1;62;M1;
BENL0357_2010_6;0;0.1;66;M10;
OSCHRI20_2001_6;0.001;0.1;13;M12;
OELFVN10_2011_6;0.008;0.1;52;M13;
MAWA0243_2010_5;0.008;0.100769231;46;M1;
ALMB0004_2006_6;0.029;0.100769231;64;M3;
999969_2012_6;0.056;0.101833333;62;M1;
BENL0035_2007_6;0.006;0.102307692;39;M3;
BOMW0032_2006_6;0.011;0.1025;52;M1;
OSCHRI20_2005_6;0.005;0.1025;16;M12;
340442_2004_5;0.031;0.103846154;63;M3;
OSCHRI10_2009_6;0.004;0.104;62;M12;
BOMW0015_2006_8;0.005;0.104166667;68;M1;
ALMB0023_2006_6;0.019;0.104166667;56;M6;
BETU0055_2008_5;0.003;0.105384615;71;M1;
BOMW0005_2009_6;0.008;0.105454545;80;M3;
340445_1986_10;0.012;0.105833333;22;M3;
340442_2003_5;0.002;0.106153846;64;M3;
BETU0045_2008_9;0.001;0.106153846;41;M6;
ALMB0008_2006_9;0.013;0.106153846;39;M6;
140294_2005_8;0.04;0.106363636;63;M1;
wb19_2009_8;0.001;0.106363636;46;M3;
OVNZAN91_2010_6;0.032;0.106666667;53;M12;
BETU0046_2009_6;0.002;0.106666667;73;M6;
BETU0056_2008_5;0.001;0.106923077;74;M3;
BETU0048_2008_8;0.002;0.106923077;70;M6;
ALMB0037_2010_8;0.013;0.107692308;64;M6;
wb16_2005_7;0.006;0.108333333;59;M3;
140289_2003_8;0.021;0.109166667;41;M1;
MAWA0050_2006_5;0.03;0.109166667;60;M1;
BOMW0010_2006_6;0.086;0.11;57;M1;
OSCHHR50_2009_6;0;0.11;96;M11;
OVNSTE10_2010_6;0.002;0.11;54;M12;
BENL0183_2009_9;0.004;0.11;66;M6;
BENL0041_2012_6;0.003;0.110689655;72;M6;
BENL0114_2007_8;0.003;0.110769231;71;M3;
BETU0050_2010_5;0.004;0.110769231;45;M3;
140289_2005_8;0.033;0.110833333;52;M1;
OVNZAN92_2010_6;0.027;0.111666667;40;M13;
d35_2010_8;0.004;0.111666667;57;M3;
GROO0059_2008_9;0.005;0.112307692;47;M6;
140289_2004_8;0.027;0.113333333;35;M1;
343502_2003_5;0.001;0.114166667;44;M1;
343502_2003_8;0.001;0.114166667;46;M1;
BOMW0041_2010_8;0.005;0.114615385;54;M6;
ALMB0028_2006_6;0.008;0.115;60;M1;
340442_1999_6;0.002;0.115;42;M3;
140289_2009_8;0.022;0.115333333;55;M1;
MAWA0099_2006_5;0.011;0.115384615;72;M1;
340442_2001_5;0.002;0.115833333;70;M3;
BETU0015_2008_6;0.002;0.116923077;76;M1;
BENL0100_2008_5;0.011;0.117692308;57;M1;
BENL0100_2008_5B;0.011;0.117692308;85;M1;
ALMB0019_2006_6;0.004;0.118181818;55;M1;
BOMW0008_2007_5;0.005;0.118461538;82;M6;
MAWA0096_2006_5;0.002;0.118571429;69;M6;
a24_2006_9;0.009;0.119166667;64;M1;
OTURFK50_2009_6;0;0.12;74;M11;
OVYKAL10_2000_6;0.001;0.12;26;M11;
00126_1992_6;0.003;0.12;34;M27;
ALMB0007_2006_8;0.035;0.12;54;M6;
343502_2009_6;0.021;0.120909091;66;M1;
l0079owo_2013_5;0.055;0.121153846;60;M10;
BENL0100_2007_9;0.006;0.121333333;78;M1;
340442_2000_5;0.001;0.121538462;54;M3;
ALBL0038_2006_8;0.003;0.121666667;50;M6;
BETU0014_2008_5;0.001;0.122307692;55;M1;
340445_2013_10;0.001;0.123;63;M3;
e04_2008_8;0.002;0.123333333;30;M6;
MAWA0157_2006_9;0.023;0.123571429;51;M3;
wb19_2008_8;0.002;0.124166667;55;M3;
d35_2011_7;0.004;0.124166667;35;M3;
ODOORT10_1987_10;0.001;0.124545455;13;M11;
MAWA0137_2006_8;0.008;0.124615385;63;M3;
MAWA0056_2010_8;0.005;0.124615385;62;M6;
BETU0161_2008_5;0.003;0.125;62;M1;
340442_2007_6;0.035;0.125;58;M3;
BENL0115_2007_6;0.003;0.125833333;78;M6;
ALMB0037_2006_9;0.012;0.125833333;64;M6;
OSCHUT10_1986_10;0.032;0.12625;10;M11;
OSCHUT10_1986_7;0.032;0.12625;13;M11;
a24_2009_7;0.002;0.126363636;58;M1;
e04_2010_7;0.004;0.1275;25;M6;
BETU0013_2010_5;0.009;0.127692308;24;M1;
BOMW0046_2006_6;0.113;0.127857143;52;M1;
MAWA0028_2006_5;0.004;0.129285714;72;M3;
00034(2)_2007_6;0.001;0.129666667;31;M27;
00034(3)_2007_6;0.001;0.129666667;31;M27;
d04_2010_8;0.018;0.13;57;M3;
e04_2006_8;0.008;0.130833333;23;M6;
OVVHEK10_1986_10;0.004;0.13125;27;M11;
OVVHEK10_1986_7;0.004;0.13125;10;M11;
OVYWEL10_2000_6;0.002;0.131666667;34;M11;
BETU0411_2013_5;0.004;0.131818182;57;M1;
BENL0039_2007_9;0.018;0.1325;75;M6;
140289_2012_9;0.005;0.132571429;68;M1;
OBLANK10_1986_10;0.003;0.13375;18;M16;
OBLANK10_1986_7;0.003;0.13375;19;M16;
BOMW0034_2006_8;0.001;0.134166667;29;M11;
340442_2002_5;0.001;0.134615385;51;M3;
MAWA0099_2009_8;0.01;0.134901961;52;M1;
a18_2008_7;0.002;0.135;59;M1;
BOMW0035_2012_5;0.018;0.135;50;M3;
a24_2010_6;0.001;0.135454545;69;M1;
a33_2009_7;0.004;0.135833333;47;M1;
340410_2012_6;0.01;0.135833333;63;M1;
BENL0145_2009_10;0.008;0.136666667;73;M3;
BENL0009_2007_9;0.008;0.136923077;68;M1;
342401_2003_8;0.002;0.138333333;59;M1;
a18_2006_8;0.022;0.139166667;74;M1;
343502_2000_5;0.001;0.14;51;M1;
343502_2000_8;0.001;0.14;64;M1;
OGEULS10_1986_10;0.003;0.14;15;M11;
OGEULS10_1986_7;0.003;0.14;24;M11;
s11_2009_7;0.032;0.14;65;M3;
BETU0013_2008_5;0.002;0.140769231;69;M1;
343502_2004_5;0.012;0.140833333;70;M1;
343502_2004_8;0.012;0.140833333;70;M1;
ALBL0066_2007_5;0.005;0.140833333;27;M6;
BOMW0008_2009_9;0.008;0.140909091;69;M6;
343502_2001_5;0.002;0.141538462;36;M1;
343502_2001_9;0.002;0.141538462;40;M1;
a14_2010_6;0.005;0.141818182;58;M1;
340445_2007_8;0.018;0.143333333;58;M3;
BOMW0031_2006_5;0.022;0.143846154;54;M1;
MAWA0027_2007_8;0.008;0.143846154;75;M3;
140289_2008_10;0.03;0.1445;58;M1;
BENL0099_2007_5;0.002;0.144615385;64;M1;
342401_2000_9;0.002;0.146666667;40;M1;
wb19_2007_7;0.001;0.1475;26;M3;
00067(1)_2007_7;0.001;0.148;7;M27;
00067(2)_2007_7;0.001;0.148;13;M27;
00067(3)_2007_7;0.001;0.148;19;M27;
a33_2005_8;0.003;0.148333333;72;M1;
MAWA0028_2010_8;0.005;0.148461538;62;M3;
s11_2006_8;0.019;0.149166667;83;M3;
143281_2013_8;0.004;0.1495;58;M1;
OSCHRI10_2001_6;0.004;0.15;33;M12;
342410_2005_6;0.034;0.15;46;M3;
a18_2007_8;0.002;0.150833333;75;M1;
BENL0361_2009_9;0.006;0.150833333;29;M10;
wb19_2010_6;0.003;0.150909091;42;M3;
140294_2013_9;0.005;0.151833333;60;M1;
143292_2010_6;0.151;0.152555556;19;M1;
143292_2010_8;0.151;0.152555556;34;M1;
343515_2013_9;0.002;0.152909091;73;M1;
a33_2006_8;0.012;0.153333333;72;M1;
BENL0055_2007_6;0.008;0.153846154;69;M6;
140293_2005_9;0.042;0.155;48;M3;
140289_2006_8;0.014;0.155833333;40;M1;
e04_2009_7;0.061;0.155833333;38;M6;
00024_1990_4;0.028;0.156666667;42;M10;
00024_1990_9;0.028;0.156666667;56;M10;
ALBL0039_2010_8;0.021;0.156666667;41;M6;
900079_2007_8;0.051;0.159166667;50;M1;
342410_2004_6;0.034;0.16;63;M3;
e36_2010_7;0.008;0.160833333;67;M3;
340445_1988_10;0.013;0.160833333;33;M3;
BENL0135_2010_6;0.006;0.163333333;85;M3;
BENL0135_2007_8;0.001;0.164615385;80;M3;
a14_2011_7;0.004;0.165833333;79;M1;
143281_2006_8;0.017;0.165833333;35;M1;
a24_2008_8;0.001;0.166666667;64;M1;
MAWA0148_2006_9;0.004;0.166923077;37;M6;
143281_2009_8;0.041;0.167;49;M1;
e25_2010_8;0.026;0.1675;56;M3;
a14_2012_5;0.003;0.168333333;53;M1;
00007_1990_4;0.02;0.168333333;56;M10;
00007_1990_9;0.02;0.168333333;53;M10;
e01_2006_8;0.01;0.17;41;M6;
340454_2000_5;0.003;0.170769231;53;M3;
ALBL0035_2007_5;0.024;0.171538462;102;M8;
342408_2013_6;0.005;0.171666667;55;M6;
l0038owo_2012_5;0.013;0.172307692;10;M6;
d14_2010_7;0.019;0.1725;30;M6;
342410_2008_6;0.024;0.173636364;66;M3;
140289_2007_8;0.032;0.174333333;60;M1;
ALBL0024_2007_8;0.007;0.175;58;M10;
BENL0041_2009_6;0.002;0.175;66;M6;
a33_2008_7;0.008;0.1775;50;M1;
BOMW0062_2009_6;0.018;0.178333333;74;M1;
ALBL0043_2006_6;0.019;0.179166667;56;M10;
BETU0162_2012_5;0.002;0.18;62;M1;
ALBL0043_2010_8;0.053;0.18;65;M10;
ODROOM10_1986_10;0.004;0.18;10;M11;
ODROOM10_1986_7;0.004;0.18;8;M11;
342410_2002_5;0.142;0.180555556;67;M3;
342410_2006_6;0.051;0.180833333;61;M3;
00124_1992_6;0.002;0.181538462;29;M27;
342410_2009_5;0.028;0.181666667;67;M3;
e01_2010_7;0.012;0.1825;39;M6;
00007_2007_7;0.018;0.183166667;43;M10;
s11_2008_8;0.02;0.183333333;67;M3;
s11_2010_8;0.037;0.184166667;59;M3;
00022_2007_7;0.001;0.184666667;42;M10;
140289_2010_8;0.013;0.185833333;64;M1;
e01_2009_7;0.002;0.187;44;M6;
142252_2013_8;0.002;0.1875;45;M1;
s10_2009_7;0.002;0.1875;52;M3;
s10_2006_8;0.007;0.1875;36;M3;
a33_2010_6;0.006;0.188333333;37;M1;
341421_1985_10;0.11;0.188333333;15;M3;
341421_1985_4;0.11;0.188333333;16;M3;
00007_2004_8;0.021;0.189090909;66;M10;
d14_2012_5;0.006;0.19;38;M6;
342410_2001_5;0.009;0.190555556;62;M3;
340454_2003_5;0.002;0.190769231;72;M3;
a21_2006_8;0.004;0.191666667;77;M1;
w51_2012_5;0.003;0.1925;59;M8;
00042_2006_8;0.003;0.193166667;44;M14;
e26_2008_7;0.01;0.194166667;62;M3;
ALBL0039_2007_5;0.012;0.194166667;62;M6;
342410_2003_5;0.061;0.196111111;66;M3;
e26_2006_10;0.031;0.196666667;55;M3;
e26_2006_6;0.031;0.196666667;66;M3;
342410_2013_6;0.003;0.196916667;73;M3;
BENL0011_2007_5;0.003;0.198461538;54;M1;
BETU0038_2008_5;0.002;0.198571429;31;M1;
e04_2007_7;0.003;0.199090909;25;M6;
140293_2002_9;0.032;0.199166667;58;M3;
ALMB0007_2012_6;0.024;0.2;70;M6;
00121_2008_6;0.002;0.200833333;28;M27;
s10_2008_8;0.003;0.200833333;43;M3;
e26_2009_7;0.006;0.200909091;73;M3;
340445_2010_8;0.041;0.201166667;67;M3;
342410_2000_5;0.009;0.202142857;60;M3;
ALBL0042_2007_6;0.017;0.2025;66;M10;
144303_1996_8;0.04;0.2025;16;M6;
BENL0044_2010_5;0.002;0.204615385;54;M6;
00031(1)_2007_6;0.001;0.205166667;24;M27;
00031(2)_2007_6;0.001;0.205166667;27;M27;
00031(3)_2007_6;0.001;0.205166667;19;M27;
s10_2010_8;0.002;0.207;37;M3;
343515_2007_9;0.027;0.2075;44;M1;
BENL0108_2007_6;0.018;0.2075;77;M1;
w41_2006_9;0.005;0.208333333;73;M10;
4137_2014_4;0.089;0.208333333;69;M14;
00060_2006_8;0.04;0.209166667;56;M10;
140294_2002_9;0.105;0.21;46;M1;
00130_2006_8;0.023;0.210333333;15;M3;
ALMB0007_2009_9;0.012;0.211666667;82;M6;
w12_2010_7;0.014;0.211818182;62;M3;
00060_1990_4;0.034;0.213333333;43;M10;
00060_1990_9;0.034;0.213333333;41;M10;
340438_2005_5;0.037;0.213333333;55;M3;
340438_2005_8;0.037;0.213333333;49;M3;
a33_2007_7;0.002;0.214166667;60;M1;
140289_2011_8;0.009;0.214333333;73;M1;
343515_2010_9;0.011;0.215;58;M1;
e01_2008_8;0.004;0.215;48;M6;
OHEERE10_1986_10;0.008;0.21625;20;M16;
OHEERE10_1986_7;0.008;0.21625;30;M16;
340442_2010_6;0.003;0.2165;62;M3;
ALBL0041_2007_5;0.008;0.216923077;58;M10;
144303_1997_9;0.009;0.217142857;15;M6;
ALBL0043_2007_9;0.004;0.2175;59;M10;
BETU0140_2009_8;0.002;0.217692308;81;M1;
w12_2009_8;0.015;0.219090909;56;M3;
w51_2011_7;0.01;0.219166667;54;M8;
340454_2009_6;0.037;0.220333333;62;M3;
ALBL0037_2007_8;0.006;0.220769231;56;M10;
BENL0024_2007_7;0.004;0.221538462;16;M3;
w51_2010_7;0.023;0.221818182;62;M8;
ALBL0013_2009_9;0.035;0.2225;61;M10;
w41_2010_7;0.006;0.222727273;45;M10;
343430_1999_6;0.01;0.223333333;50;M3;
BENL0360_2010_6;0.008;0.223636364;77;M6;
a24_2007_7;0.003;0.228333333;59;M1;
342410_2007_5;0.06;0.228333333;55;M3;
140289_2002_8;0.003;0.229166667;40;M1;
342401_2007_8;0.001;0.23;58;M1;
w41_2009_7;0.009;0.23;53;M10;
00123_2001_9;0.002;0.230833333;55;M14;
00054_1999_6;0.018;0.2325;29;M10;
900081_2013_8;0.013;0.23325;59;M3;
e26_2010_7;0.03;0.233333333;66;M3;
w51_2006_10;0.009;0.233333333;60;M8;
w51_2006_6;0.009;0.233333333;77;M8;
140391_2006_5;0.094;0.234166667;65;M3;
s05_2010_8;0.003;0.235454545;34;M3;
340454_2006_9;0.036;0.235833333;35;M3;
00016_2002_8;0.003;0.236666667;53;M14;
00123_2002_8;0.003;0.236666667;52;M14;
w12_2006_8;0.011;0.238333333;58;M3;
OSTRIJ10_1986_10;0;0.23875;15;M11;
OSTRIJ10_1986_7;0;0.23875;23;M11;
144303_1999_8;0.013;0.240769231;21;M6;
340454_1999_6;0.002;0.240833333;64;M3;
BOMW0048_2006_8;0.019;0.240909091;74;M1;
s11_2007_8;0.012;0.241;87;M3;
00022_2004_8;0.001;0.242727273;59;M10;
342410_2010_5;0.018;0.243333333;58;M3;
144303_2001_8;0.014;0.243846154;14;M6;
140293_2000_8;0.009;0.244166667;58;M3;
343521_2013_5;0.003;0.244285714;66;M1;
00120_1993_9;0.002;0.245;30;M27;
w37_2006_8;0.011;0.245;73;M3;
144303_1998_8;0.003;0.245714286;29;M6;
00054_2000_8;0.004;0.245833333;38;M10;
341414_1989_10;0.032;0.246666667;15;M3;
341414_1989_6;0.032;0.246666667;19;M3;
w52_2009_7;0.017;0.2475;66;M3;
00016_1993_9;0.004;0.25;38;M14;
w51_2009_7;0.013;0.251666667;54;M8;
OTENEI10_1986_10;0.003;0.2525;16;M11;
OTENEI10_1986_7;0.003;0.2525;7;M11;
00038_2004_9;0.023;0.252727273;64;M10;
340445_1987_10;0.003;0.253;17;M3;
00123_2009_6;0.002;0.253333333;26;M14;
00030(1)_2007_7;0.002;0.253333333;11;M27;
00030(2)_2007_7;0.002;0.253333333;15;M27;
00030(3)_2007_7;0.002;0.253333333;37;M27;
00041_2006_8;0.01;0.2535;50;M27;
a21_2010_8;0.009;0.253636364;62;M1;
BETU0093_2008_5;0.001;0.253846154;58;M1;
900079_2010_8;0.025;0.254;59;M1;
w06_2009_7;0.014;0.254545455;41;M6;
00018(1)_2007_7;0.002;0.255166667;11;M27;
00018(2)_2007_7;0.002;0.255166667;34;M27;
00018(3)_2007_7;0.002;0.255166667;31;M27;
00038_2007_7;0.022;0.255833333;46;M10;
340454_1985_9;0.009;0.256363636;26;M3;
144303_2002_9;0.021;0.257857143;17;M6;
wb03_2009_7;0.016;0.259090909;56;M10;
900009_2009_8;0.039;0.259166667;46;M1;
BENL0055_2010_6;0.027;0.260909091;55;M6;
00120_2008_6;0.001;0.261666667;26;M27;
w28_2006_9;0.008;0.2625;26;M8;
342410_2012_6;0.002;0.263333333;74;M3;
00121_2001_9;0.001;0.263846154;41;M27;
l0070owo_2012_6;0.007;0.264615385;20;M6;
w06_2012_5;0.005;0.265;50;M6;
00054_1998_7;0.007;0.266666667;28;M10;
w05_2009_7;0.016;0.267272727;43;M1;
e01_2007_8;0.008;0.268;38;M6;
143281_2005_9;0.047;0.269166667;46;M1;
342410_2011_5;0.033;0.269166667;72;M3;
142252_2009_9;0.014;0.27;35;M1;
KOP 0801_2004_6;0.005;0.2726;53;M8;
w05_2006_9;0.023;0.274166667;59;M1;
w52_2010_7;0.03;0.274545455;68;M3;
w52_2007_7;0.008;0.275833333;59;M3;
144303_2003_8;0.025;0.275833333;8;M6;
BENL0083_2007_5;0.02;0.276666667;46;M3;
142252_2006_8;0.012;0.278;46;M1;
w06_2010_7;0.02;0.279166667;34;M6;
00030_2006_8;0.002;0.279333333;38;M27;
342408_2010_6;0.027;0.282727273;58;M6;
l0081owo_2011_4;0.027;0.287692308;21;M3;
s10_2007_8;0.005;0.288;40;M3;
ALBL0028_2007_8;0.016;0.288461538;37;M1;
00503_1983_4;0.007;0.289090909;15;M20;
00503_1983_8;0.007;0.289090909;10;M20;
00909_2001_8;0.005;0.289166667;21;M8;
00054_1995_7;0.011;0.29;31;M10;
00102_1993_9;0.01;0.291666667;30;M14;
140293_2001_8;0.01;0.293333333;43;M3;
w41_2007_7;0.005;0.295;62;M10;
342408_2007_6;0.022;0.295833333;41;M6;
343521_2008_4;0.035;0.296666667;52;M1;
w37_2008_7;0.013;0.296666667;79;M3;
w25_2010_6;0.033;0.299090909;69;M10;
BENL0176_2007_9;0.013;0.300769231;64;M3;
a21_2008_8;0.002;0.300833333;67;M1;
340438_2008_10;0.024;0.301666667;41;M3;
KOP 0801_2003_6;0.006;0.303636364;51;M8;
w37_2010_7;0.018;0.304545455;43;M3;
142252_2011_9;0.022;0.305;55;M1;
w52_2006_8;0.016;0.31;64;M3;
a21_2007_8;0.004;0.310909091;64;M1;
900009_2010_10;0.022;0.311666667;59;M1;
w37_2007_7;0.009;0.311666667;82;M3;
OGEUSS10_1986_10;0.002;0.3125;14;M11;
OGEUSS10_1986_7;0.002;0.3125;13;M11;
ALBL0013_2007_9;0.022;0.314166667;48;M10;
w06_2011_7;0.016;0.315;44;M6;
w12_2008_7;0.014;0.315454545;38;M3;
MAWA0046_2006_5;0.012;0.315833333;43;M1;
00052_2002_8;0.015;0.315833333;54;M14;
BETU0112_2008_9;0.013;0.316153846;68;M1;
wb03_2006_8;0.009;0.316666667;62;M10;
00123_2006_8;0.002;0.316666667;61;M14;
01203_1995_7;0.032;0.32;28;M1;
00123_1993_9;0.003;0.32;39;M14;
00907_2003_9;0.017;0.32;70;M8;
w28_2009_8;0.01;0.320909091;16;M8;
341414_1986_10;0.165;0.321666667;18;M3;
341414_1986_4;0.165;0.321666667;20;M3;
w28_2007_7;0.003;0.321666667;15;M8;
w51_2008_7;0.011;0.3225;53;M8;
wb03_2007_7;0.011;0.324;52;M10;
340438_2009_6;0.026;0.325;49;M3;
340438_2009_9;0.026;0.325;32;M3;
w06_2006_8;0.025;0.325;20;M6;
342408_2003_5;0.03;0.325384615;58;M6;
w37_2009_7;0.007;0.325454545;55;M3;
00054_2005_9;0.013;0.325833333;46;M10;
w12_2007_7;0.009;0.326666667;64;M3;
BENL0360_2007_5;0.001;0.326923077;69;M6;
a21_2009_7;0.003;0.327272727;58;M1;
BETU0019_2008_6;0.003;0.327692308;48;M1;
00036_2004_9;0.02;0.33;51;M10;
144303_2000_8;0.006;0.332307692;19;M6;
340410_1986_10;0.017;0.333333333;16;M1;
340410_1986_4;0.017;0.333333333;9;M1;
e33_2010_7;0.014;0.333636364;40;M6;
00907_2007_8;0.006;0.334166667;19;M8;
w06_2007_7;0.006;0.337272727;17;M6;
ROP18068_2007_7;0.014;0.338333333;20;M3;
e26_2007_7;0.008;0.339166667;61;M3;
343521_2009_5;0.025;0.341818182;48;M1;
wb03_2010_6;0.043;0.342;59;M10;
KOP 0801_2005_8;0.004;0.344423077;50;M8;
w05_2010_7;0.021;0.348181818;41;M1;
wb03_2008_7;0.014;0.3525;66;M10;
900009_2007_8;0.043;0.353333333;54;M1;
00125_2008_6;0.006;0.353333333;49;M27;
w28_2010_7;0.014;0.354166667;34;M8;
ROP18068_2001_6;0.015;0.355789474;24;M3;
343521_2011_5;0.006;0.356666667;83;M1;
w05_2008_7;0.023;0.356666667;62;M1;
e33_2012_5;0.014;0.360833333;38;M6;
00910_2008_7;0.009;0.363166667;53;M8;
w25_2009_7;0.028;0.364166667;65;M10;
00036_2009_6;0.02;0.364166667;42;M10;
w52_2008_7;0.012;0.364166667;57;M3;
w06_2008_7;0.007;0.364166667;44;M6;
w51_2007_5;0.007;0.365;81;M8;
w51_2007_9;0.007;0.365;66;M8;
ALBL0002_2007_5;0.04;0.371538462;76;M8;
w05_2007_7;0.015;0.3725;85;M1;
KRW30_06_2012_5;0.026;0.3725;62;M10;
343521_2012_6;0.006;0.372666667;66;M1;
00907_2001_9;0.017;0.3775;60;M8;
ALBL0021_2007_9;0.076;0.3775;73;M8;
ROP16702_2003_5;0.014;0.380833333;44;M3;
ROP11920_2009_7;0.005;0.381818182;45;M10;
00010_2001_8;0.005;0.384615385;46;M14;
w25_2006_8;0.016;0.385833333;64;M10;
01203_1992_6;0.02;0.387272727;18;M1;
341414_1988_11;0.038;0.387777778;26;M3;
341414_1988_4;0.038;0.387777778;23;M3;
e33_2008_5;0.013;0.390833333;60;M6;
e33_2008_9;0.013;0.390833333;41;M6;
00010_2002_9;0.025;0.3925;49;M14;
w50_2010_7;0.036;0.400909091;59;M8;
a11_2010_6;0.027;0.405;44;M3;
342408_2000_5;0.029;0.405384615;59;M6;
00912_2010_7;0.013;0.405454545;55;M8;
w50_2006_8;0.021;0.406666667;62;M8;
KRW25_01_2011_8;0.09;0.41;36;M3;
00036_2007_7;0.021;0.411666667;28;M10;
00010_2006_8;0.05;0.411666667;49;M14;
e33_2009_7;0.008;0.42;48;M6;
KOP 0401_1993_7;0.006;0.42;60;M8;
342406_1999_5;0.017;0.421538462;22;M6;
00010_2008_6;0.005;0.43;26;M14;
ALBL0014_2007_6;0.018;0.430769231;55;M10;
00907_2006_8;0.01;0.430833333;30;M8;
KRW30_06_2010_4;0.017;0.431666667;39;M10;
w25_2008_7;0.011;0.4325;62;M10;
