SampleID;x1;x2;y; ; 
80130;0.078724537;3;0.689112082;;
90495;0.078724537;3;0.468561205;;
120445;0.078724537;3;0.414930873;;
100272;0.096583333;2;0.722961697;;
90409;0.096583333;2;0.73671302;;
80046;0.096583333;2;0.766966056;;
80081;0.066333333;2;0.542229241;;
121037;0.066333333;2;0.50293959;;
80234;0.058597222;2;0.642953615;;
110961;0.058597222;2;0.50293959;;
Kymij_Kokonk_1997;0.021707317;2;0.276317003;;
Vuoksi_Imatrank_2006;0.007944033;2;0.597721771;;
Kymij_Ahvio_1997;0.021707317;2;0.399424554;;
Vuoksi_BurnajaRUS_2006;0.007944033;2;0.564441056;;
Tenojoki_14500_2006;0.0067;1;1.106509778;;
Vuoksi_LosevoRUS_2006;0.007944033;2;0.753031411;;
Oulujoki_Laukansilta_2007;0.020239766;2;0.210834356;;
Kymij_Hirvik_1999;0.021707317;2;0.617135496;;
Paatsj_Virtaniemi14400_2007;0.003609649;1;0.905354287;;
Tornionj_Kukkola14310_2007;0.01525641;1;1.072756262;;
DrBo0409;0.0774;2;0.803901172;;
DrBo0606;0.0774;2;0.427098784;;
DrDM1209;0.09;2;0.587279639;;
DrBe0511;0.0991;2;0.650747452;;
DrVi0609;0.1167;2;0.752296141;;
DrTP0409;0.069;2;0.681520522;;
MuGo0409;0.1043;2;0.800439303;;
SaDa0906;0.1137;3;0.449765941;;
SaDr0509;0.0918;2;0.979418635;;
SaGa0509;0.1113;2;0.771709866;;
SaRa0509;0.1006;2;0.862307195;;
SaZa0606;0.1196;3;0.912441427;;
SaDa0509;0.1137;3;0.818302679;;
SaRa0712;0.1006;2;0.375115588;;
SaJa0509;0.1079;1;0.98331918;;
SaSS0509;0.1129;2;0.402849413;;
SaZu0706;0.1164;3;0.477268586;;
SaDr0712;0.0918;2;0.767647542;;
AEP446_2010_0506_Komarom;0.099;3;0.657974416;;
AEP446_2008_0514_Komarom;0.099;3;0.94085987;;
AEP446_2008_1014_Komarom;0.099;3;0.412807096;;
AEP446_2008_1015_Szob;0.072;2;0.693335117;;
AEP443_2008_0514_Rajka;0.0975;2;0.420784875;;
AEP443_2008_0514_Medve;0.075;2;0.214514247;;
AEP446_2008_0515_Szob;0.072;2;0.550820923;;
AEP446_2010_0506_Szob;0.072;2;1.039869834;;
AEP446_2010_1019_Szob;0.072;2;0.913357067;;
AEP446_2009_0604_Szob;0.072;2;0.322047988;;
AEP445_2008_0605_Mohacs;0.122;2;0.442424203;;
AEP444_2008_0515_Bpus;0.135;3;0.48706449;;
AEP444_2010_1116_Dfoldvar;0.13;3;0.375088962;;
AEP443_2008_0518_Rajka;0.0975;2;0.132005997;;
AEP443_2008_1014_Medve;0.075;2;0.874580254;;
AEP443_2010_0506_Medve;0.075;2;0.280520785;;
AEP443_2010_0506_Rajka;0.0975;2;0.668309627;;
AEP443_2010_1020_Rajka;0.0975;2;0.214514247;;
AEP444_2008_0612_Bpds;0.15;4;0.354134565;;
AEP444_2008_1017_Bpus;0.135;3;0.610826866;;
AEP444_2009_1106_Baja;0.13;2;0.322047988;;
AEP444_2011_0318_Dfoldvar;0.13;3;0.473313167;;
AEP445_2008_0709_Mohacs;0.122;2;0.497429729;;
AEP438_2008_0920_Vizvar;0.00006;2;1.079762788;;
AEP438_2008_0921_Barcs;0.00006;2;0.729102722;;
AEQ057_2011_0311_Zempl;0.15;3;0.593545945;;
1-1455;0.089416667;1;1.271763072;;
1-588;0.127416667;2;0.316404403;;
1-553;0.089416667;1;1.209434947;;
1-472;0.127416667;2;0.97647041;;
1-459;0.089416667;1;0.847327013;;
1-1639;0.127416667;2;1.042476947;;
1-1568;0.089416667;1;1.105613807;;
1-1491;0.127416667;2;0.563929155;;
1-559;0.089416667;1;1.070765508;;
1-12-484/18;0.09325;3;0.613434137;;
1-12-480/10;0.091166667;3;0.910463872;;
1-12-1613/13;0.09325;3;0.811453908;;
1-12-1609/59;0.091166667;3;0.206393428;;
1-11-510/91;0.091166667;3;0.316404403;;
1-11-506/92;0.09325;3;0.316404403;;
1-11-1420/94;0.09325;3;0.426415378;;
1-11-1417/2;0.091166667;3;0.514424173;;
1-10-401/10;0.09325;3;0.687691532;;
1-10-399/1;0.091166667;3;-0.096136851;;
1-10-1456/17;0.09325;3;0.504994679;;
1-10-1452/8;0.091166667;3;0.151387901;;
1-1565;0.089416667;1;0.97647041;;
T-JTD-2013-PAV-2049;0.091166667;3;0.646437406;;
T-VAKKR-2013-PAV-625;0.127416667;2;0.494114451;;
T-VAKKR-2012-PAV-207;0.127416667;2;0.353074754;;
T-VAKKR-2012-PAV-107;0.127416667;2;1.023617959;;
T-JTD-2013-PAV-611;0.091166667;3;0.316404403;;
T-JTD-2013-PAV-585;0.09325;3;0.426415378;;
T-JTD-2013-PAV-2141;0.09325;3;0.316404403;;
T-VAKAR-2013-PAV-765;0.089416667;1;1.117913058;;
GRAVE2 2007;0.163076923;3;0.504860973;;
GEWDE 2007;0.060714286;3;0.300946658;;
DRONGLN 2007;0.1935;3;0.994015934;;
KEIZVR246 2007;0.1935;3;0.828999432;;
OPHMT921 2007;0.14962963;3;0.471857704;;
MILLGADRN866 2006;0.14962963;3;0.133573845;;
LOEVSN 2006;0.14962963;3;0.238295861;;
LOEVSN 2007;0.14962963;3;0.422352723;;
OPHMT921 2006;0.14962963;3;-0.031442657;;
STEENWD941 2006;0.14962963;3;0.581868601;;
SPIJKSDK860 2007;0.14962963;3;0.422352723;;
SPIJKSDK860 2006;0.14962963;3;0.162134423;;
WOLFRN894 2007;0.14962963;3;0.422352723;;
WOLFRN894 2006;0.14962963;3;0.422352723;;
EIJSDPTN 2007;0.221730769;3;0.270363868;;
GATVVKPNOT 2007;0.1935;3;0.168933425;;
GATVDVEN 2007;0.1935;3;0.425625726;;
STEURGZD 2007;0.1935;3;0.333949927;;
KIEVTWD 2006;0.14962963;3;0.462296078;;
KIEVTWD 2007;0.14962963;3;0.718988378;;
ZUIDHVN976 2007;0.14962963;3;0.58147468;;
ZUIDMTGND 2007;0.14962963;3;0.168933425;;
OHE 2007;0.215384615;3;0.348618408;;
NOORDHLDWT02 2007;0.142857143;3;-0.078591327;;
HOLLDP02 2007;0.142857143;3;-0.029086345;;
HOLLDOT01 2006;0.142857143;3;0.388955454;;
HOLLDMDN 2007;0.142857143;3;0.003916924;;
HARVT02 2007;0.142857143;3;0.168933425;;
VENTJGGTE 2007;0.142857143;3;-0.029086345;;
VUILGT 2007;0.142857143;3;-0.161099578;;
OLST2 2006;0.143076923;3;0.48128712;;
OLST2 2007;0.143076923;3;0.48128712;;
KETELD1002 2006;0.143076923;3;0.449855525;;
IJSSL1000 2007;0.143076923;3;0.504860973;;
VELP2 2007;0.143076923;3;0.422352723;;
VELP2 2006;0.143076923;3;0.151254195;;
WIJHE2 2006;0.143076923;3;0.575582376;;
WIJHE2 2007;0.143076923;3;0.669877475;;
STEEG2 2006;0.143076923;3;0.17482797;;
STEEG2 2007;0.143076923;3;0.559866421;;
REMMDN912 2006;0.432307692;3;0.359258196;;
REMMDN912 2007;0.432307692;3;0.779888529;;
WAGNGN900 2007;0.432307692;3;0.245549294;;
STEENWD943 2007;0.432307692;3;0.559866421;;
WAGNGN899 2006;0.432307692;3;0.369847443;;
NIEUWMWDWZD 2006;0.171538462;3;0.263228603;;
ZUIDHVN 2006;0.171538462;3;0.718988378;;
NOORDLDK953 2007;0.131428571;3;0.58147468;;
OPPDT982 2007;0.131428571;3;0.828999432;;
HOOGVT1001 2007;0.131428571;3;0.718988378;;
HOOGVT1001 2006;0.131428571;3;0.608977482;;
POLDWLGLRK 2007;0.131428571;3;0.994015934;;
NOORDLDK955 2006;0.131428571;3;0.333949927;;
POLDWLGLRK 2006;0.131428571;3;0.216080975;;
HEINOTNL990 2006;0.131428571;3;0.428245105;;
OPPDT982 2006;0.131428571;3;0.388955454;;
ZWIJNDT983 2006;0.131428571;3;0.205603777;;
ZWIJNDT983 2007;0.131428571;3;0.718988378;;
HASSWZDE 2007;0.175384615;3;0.779888529;;
BERGN 2007;0.186923077;3;0.614872027;;
BELFBVN 2007;0.186923077;3;0.504860973;;
002-3356-R_2010;0.009;1;0.716860659;;
002-2812-R_2011;0.012;2;0.735719647;;
002-3356-R_2012;0.009;1;0.759293343;;
002-1519-R_2010;0.014;2;0.617850695;;
002-2812-R_2010;0.013;2;0.617850695;;
002-3356-R_2011;0.009;1;0.720986008;;
002-1519-R_2011;0.021;2;0.576596569;;
012-2346-R_2010;0.004;2;0.780699188;;
002-1519-R_2013;0.02;2;0.932882212;;
002-1519-R_2012;0.016;2;0.683857232;;
012-2399-R_East2010;0.006;2;0.928035418;;
002-3356-R_2013;0.009;1;0.782867196;;
002-2812-R_2012;0.009;2;0.856207899;;
002-2812-R_2013;0.009;2;1.002889146;;
1217;0.2;2;0.626588709;;
904B;0.205;2;0.607174984;;
7725;0.205;2;0.343148519;;
7706;0.16975;2;0.497163931;;
7705;0.18775;2;0.32428953;;
1312;0.18775;2;0.563170626;;
541;0.18;2;1.003214525;;
2295;0.084833333;2;0.545293796;;
1344;0.090166667;2;0.647130972;;
1350;0.17;2;0.682182414;;
1173;0.176666667;3;0.418584629;;
828;0.16;2;0.863867285;;
1449;0.16;2;0.607174984;;
677;0.14;3;0.739188217;;
827;0.176666667;3;0.627802047;;
486;0.16025;3;0.32428953;;
1220;0.17;4;0.423823386;;
912;0.16;4;0.211135365;;
1220B;0.17;4;0.497163931;;
661K;0.16;4;0.029617229;;
908;0.16;4;0.222136454;;
661;0.16;4;0.578476469;;
602;0.16025;3;0.877202044;;
658;0.16;4;0.607174984;;
1950;0.117;3;0.167131006;;
1492;0.0975;4;0.387153035;;
1573;0.11375;3;0.75719;;
905;0.11375;3;0.400904357;;
899;0.08625;4;0.524666734;;
401;0.0975;4;0.277141981;;
669;0.203;2;0.552169536;;
8326;0.203;2;0.677896387;;
474;0.12375;2;0.796750082;;
RORW4.1_B11_2011_08;0.11;2;1.188093058;;
RORW2.1_B5_2009_07;0.1323;2;0.757353786;;
RORW4.1_B11_2011_10;0.11;2;1.041411811;;
RORW7.1_B148_2010_05;0.13;2;0.72513013;;
