SampleID;x1;x2;y; 
283;3.628333333;1.461730033;0.457495656;
284;2.803333333;1.461730033;0.786171158;
285;0.15;1.464852068;0.77922072;
286;0.41;1.497021265;0.919304855;
287;2.86;1.852411676;0.68857414;
288;2.421666667;1.557201431;0.912588899;
289;3.216666667;1.557201431;0.978213351;
290;3.398571429;2.286549775;0.605915115;
291;4;2.286549775;0.661773329;
292;0.795;1.927545287;0.334838851;
293;0.1;1.580298481;1.049136834;
294;5.35;2.175966854;0.768537698;
295;5.505;2.175966854;0.666153024;
296;0.995;2.23196121;0.286537979;
297;3.656666667;1.986880968;0.816388466;
298;11.7;1.986880968;0.579020481;
299;2.995;2.362034348;0.50496761;
300;3.505;2.362034348;0.522852563;
301;5.695;2.533008975;0.473253357;
302;4.628333333;2.533008975;0.383284719;
303;5.585;3.02213516;0.55332102;
304;5.843333333;2.451262626;0.443405012;
305;1.48;1.977225745;0.54427539;
306;1.26;1.977225745;0.709334584;
307;3.265;2.387917241;0.285087751;
308;3.563333333;2.387917241;0.399783455;
309;6.895;2.419794131;0.756417497;
310;6.936666667;2.584159423;0.615163223;
311;1.965;2.771388406;0.331174951;
312;1.598571429;2.771388406;0.294477729;
313;4.886;2.679776501;0.507037544;
314;5.255;2.679776501;0.558502121;
315;4.775;2.679776501;0.642410829;
316;5.77;2.863278845;0.526299961;
317;7.106666667;2.863278845;0.446519492;
318;6.395;2.285606467;0.563948348;
319;4.85;2.285606467;0.54260319;
320;15.95;2.285606467;0.549404699;
321;5.24;3.214813543;0.3622932;
322;2.505;1.970984596;0.427349237;
323;2.016666667;1.970984596;0.56569217;
324;8.075;3.578911873;0.745398093;
325;2.66;2.626152497;0.737059304;
326;0.976666667;3.157297291;0.461783432;
327;1.753333333;3.157297291;0.494890936;
328;1.45;2.900771447;0.768962199;
329;1.606666667;3.426436501;0.463374421;
330;6.865;2.044483274;0.356263442;
331;5.785;3.373670987;0.600559708;
332;8.203333333;3.806132392;0.521595739;
333;8.681428571;3.806132392;0.394135245;
334;4.35;3.640764425;0.617373658;
335;4.368333333;3.640764425;0.625676776;
336;2.5;2.876319266;0.378291011;
337;4.921428571;2.96458115;0.938832493;
338;3.893333333;2.96458115;1.04259299;
339;4.765;2.503552314;1.06766683;
340;6.883333333;2.503552314;1.097538902;
341;4.343333333;2.503552314;1.010909894;
342;5.08;2.673895295;0.816367434;
343;2.29;5.08120215;1.001177429;
344;3.333333333;5.08120215;1.06497874;
345;3.115714286;5.08120215;0.958643222;
346;3.063333333;5.08120215;0.945351282;
347;4.47;2.249427809;0.69634294;
348;3.896;2.249427809;0.853654593;
349;11.29857143;2.141386314;0.90590341;
350;1.716666667;2.72962039;0.712882331;
